id,isDeleted,no,status,date,title,abstract,moeJson,speakerName,speakerTitle,speakerOrg
t05,TRUE,5,已確認,2026-10-30,舊草稿重複列（應被忽略）,,"[""b3_impact""]",舊草稿講者,,
t03,FALSE,3,已確認,2026-10-16,,,"[""b1_rights""]",李小芳,,
t01,FALSE,1,已確認,2026-09-18,AI與氣候治理導論,,"[""b2_risk"",""b2_verify""]",王大明,教授,國立測試大學資訊工程學系
t02,FALSE,2,邀約中,2026-10-09,尚未確定的講題,尚未確定的摘要,"[""b1_ethics""]",陳小華,副教授,測試學院
t04,FALSE,4,邀約中,,,,,,,
t05,FALSE,5,已確認,2026-10-30,智慧交通應用測試,智慧號誌控制與停車管理示範,"[""b3_impact"",""b3_account""]",林小美,技正,無
t06,FALSE,6,已確認,2026-11-06,在地創生資料應用,,"[""b2_risk""]",張小強,執行長,"測試基金會（服務超過 30,000 人次）"
t07,FALSE,7,已完成,2026-11-13,已完成場次測試講題,,"[""b3_impact""]",黃小龍,主治醫師,測試醫院
t08,FALSE,8,邀約中,,,,,,,
t09,FALSE,9,已確認,2026-11-27,醫療與AI測試講題,,"[""b1_ethics"",""b2_verify""]",吳小婷,主治醫師,測試醫療財團法人
t10,FALSE,10,已確認,2026-12-04,地理資訊測試講題,,"[""b2_risk"",""b3_account""]",郭小麟,副教授,國立測試大學
t11,FALSE,11,婉拒,2026-12-11,已婉拒講題,已婉拒摘要,"[""b1_rights""]",已婉拒的測試講者,教授,測試婉拒單位
t12,FALSE,12,已確認,2026-12-18,偏鄉科技應用測試講題,,"[""b3_impact"",""b1_rights""]",張小育,主任,測試醫事室
